	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label	attribution
326	CD	25	nummod	327	9.45	B-PERCENT	14	24	9.45	0	_ _ _ _ _ _
327	NN	22	obl	328	%	E-PERCENT	14	25	%	0	_ _ _ _ _ _
328	DT	27	det	329	a	B-DATE	14	26	a	0	_ _ _ _ _ _
329	NN	28	obl:npmod	330	week	I-DATE	14	27	week	0	_ _ _ _ _ _
330	RBR	22	advmod	331	earlier	E-DATE	14	28	earlier	0	_ _ _ _ _ _
331	.	9	punct	332	.	O	14	29	.	0	_ _ _ _ _ _
332	PRP	2	nsubj	333	it	O	15	1	It	0	_ _ _ _ _ _
333	VBZ	0	root	334	invest	O	15	2	invests	0	_ _ _ _ _ _
334	RB	2	advmod	335	heavily	O	15	3	heavily	0	_ _ _ _ _ _
335	IN	6	case	336	in	O	15	4	in	0	_ _ _ _ _ _
336	JJ	6	amod	337	dollar-denominated	O	15	5	dollar-denominated	0	_ _ _ _ _ _
337	NNS	2	obl	338	security	O	15	6	securities	0	_ _ _ _ _ _
338	RB	2	advmod	339	overseas	O	15	7	overseas	0	_ _ _ _ _ _
339	CC	11	cc	340	and	O	15	8	and	0	_ _ _ _ _ _
340	VBZ	11	aux	341	be	O	15	9	is	0	_ _ _ _ _ _
341	RB	11	advmod	342	currently	O	15	10	currently	0	_ _ _ _ _ _
342	VBG	2	conj	343	waiv	O	15	11	waiving	0	_ _ _ _ _ _
343	NN	13	compound	344	management	O	15	12	management	0	_ _ _ _ _ _
344	NNS	11	obj	345	fee	O	15	13	fees	0	_ _ _ _ _ _
345	,	13	punct	346	,	O	15	14	,	0	_ _ _ _ _ _
346	WDT	16	nsubj	347	which	O	15	15	which	0	_ _ _ _ _ _
347	VBZ	13	acl:relcl	348	boost	O	15	16	boosts	0	_ _ _ _ _ _
348	PRP$	18	nmod:poss	349	its	O	15	17	its	0	_ _ _ _ _ _
349	NN	16	obj	350	yield	O	15	18	yield	0	_ _ _ _ _ _
350	.	2	punct	351	.	O	15	19	.	0	_ _ _ _ _ _
351	DT	5	det	352	the	O	16	1	The	0	_ _ _ _ _ _
352	JJ	5	amod	353	average	O	16	2	average	0	_ _ _ _ _ _
353	JJ	5	amod	354	seven-day	S-DATE	16	3	seven-day	0	_ _ _ _ _ _
354	JJ	5	amod	355	simple	O	16	4	simple	0	_ _ _ _ _ _
355	NN	12	nsubj	356	yield	O	16	5	yield	0	_ _ _ _ _ _
356	IN	9	case	357	of	O	16	6	of	0	_ _ _ _ _ _
357	DT	9	det	358	the	O	16	7	the	0	_ _ _ _ _ _
358	CD	9	nummod	359	400	S-CARDINAL	16	8	400	0	_ _ _ _ _ _
359	NNS	5	nmod	360	fund	O	16	9	funds	0	_ _ _ _ _ _
360	VBD	12	cop	361	be	O	16	10	was	0	_ _ _ _ _ _
361	CD	12	nummod	362	8.12	B-PERCENT	16	11	8.12	0	_ _ _ _ _ _
362	NN	0	root	363	%	E-PERCENT	16	12	%	0	_ _ _ _ _ _
363	,	12	punct	364	,	O	16	13	,	0	_ _ _ _ _ _
364	RB	12	advmod	365	down	O	16	14	down	0	_ _ _ _ _ _
365	IN	17	case	366	from	O	16	15	from	0	_ _ _ _ _ _
366	CD	17	nummod	367	8.14	B-PERCENT	16	16	8.14	0	_ _ _ _ _ _
367	NN	14	obl	368	%	E-PERCENT	16	17	%	0	_ _ _ _ _ _
368	.	12	punct	369	.	O	16	18	.	0	_ _ _ _ _ _
369	DT	4	det	370	the	O	17	1	The	0	_ _ _ _ _ _
370	JJ	4	amod	371	30-day	S-DATE	17	2	30-day	0	_ _ _ _ _ _
371	JJ	4	amod	372	simple	O	17	3	simple	0	_ _ _ _ _ _
372	NN	5	nsubj	373	yield	O	17	4	yield	0	_ _ _ _ _ _
373	VBD	0	root	374	fall	O	17	5	fell	0	_ _ _ _ _ _
374	IN	10	case	375	to	O	17	6	to	0	_ _ _ _ _ _
375	DT	10	det	376	a	O	17	7	an	0	_ _ _ _ _ _
376	JJ	10	amod	377	average	O	17	8	average	0	_ _ _ _ _ _
377	CD	10	nummod	378	8.19	B-PERCENT	17	9	8.19	0	_ _ _ _ _ _
378	NN	5	obl	379	%	E-PERCENT	17	10	%	0	_ _ _ _ _ _
379	IN	13	case	380	from	O	17	11	from	0	_ _ _ _ _ _
380	CD	13	nummod	381	8.22	B-PERCENT	17	12	8.22	0	_ _ _ _ _ _
381	NN	5	obl	382	%	E-PERCENT	17	13	%	0	_ _ _ _ _ _
382	,	5	punct	383	;	O	17	14	;	0	_ _ _ _ _ _
383	DT	18	det	384	the	O	17	15	the	0	_ _ _ _ _ _
384	NNP	18	compound	385	30-day	S-DATE	17	16	30-day	0	_ _ _ _ _ _
385	NN	18	compound	386	compound	O	17	17	compound	0	_ _ _ _ _ _
386	NN	19	nsubj	387	yield	O	17	18	yield	0	_ _ _ _ _ _
387	VBD	5	parataxis	388	slid	O	17	19	slid	0	_ _ _ _ _ _
388	IN	24	case	389	to	O	17	20	to	0	_ _ _ _ _ _
389	DT	24	det	390	a	O	17	21	an	0	_ _ _ _ _ _
390	JJ	24	amod	391	average	O	17	22	average	0	_ _ _ _ _ _
391	CD	24	nummod	392	8.53	B-PERCENT	17	23	8.53	0	_ _ _ _ _ _
392	NN	19	obl	393	%	E-PERCENT	17	24	%	0	_ _ _ _ _ _
393	IN	27	case	394	from	O	17	25	from	0	_ _ _ _ _ _
394	CD	27	nummod	395	8.56	B-PERCENT	17	26	8.56	0	_ _ _ _ _ _
395	NN	19	obl	396	%	E-PERCENT	17	27	%	0	_ _ _ _ _ _
396	.	5	punct	397	.	O	17	28	.	0	_ _ _ _ _ _
